t,temp,pcpu_freq_mhz,pcpu_usage,ecpu_freq_mhz,ecpu_usage
1784703015.084909,80.41867065429688,2845,0.8883700966835022,2064,0.9999973177909851
1784703016.129931,82.30758666992188,2787,0.8690813779830933,2063,0.9686513543128967
1784703017.18498,82.77637481689453,2783,0.8258379697799683,2059,0.8426774144172668
1784703018.250367,79.65220642089844,2919,0.9036402106285095,2063,0.9712793827056885
1784703019.2934852,83.50576782226562,2648,0.8205930590629578,2063,0.9249716997146606
1784703020.344501,83.72516632080078,2593,0.8096599578857422,2064,0.9946109056472778
1784703021.379898,84.18472290039062,2576,0.782282829284668,2061,0.8835673332214355
1784703022.429609,84.8852310180664,2682,0.8280106782913208,2063,0.9388657808303833
1784703023.490247,82.63688659667969,2745,0.8499387502670288,2063,0.964449942111969
1784703024.535792,85.12342071533203,2494,0.7582616806030273,2060,0.8658785820007324
1784703025.582596,85.02273559570312,2445,0.7635444402694702,2064,0.9999970197677612
1784703026.6418009,85.38211059570312,2461,0.7650692462921143,2064,0.969062089920044
1784703027.687755,85.98594665527344,2513,0.7728416919708252,2058,0.9374244213104248
1784703028.741985,85.85552978515625,2750,0.8543738126754761,2064,0.9650018811225891
1784703029.7943602,86.58035278320312,2390,0.7382459044456482,2062,0.9272681474685669
1784703030.8386161,86.8479995727539,2361,0.7370436787605286,2064,0.9966158866882324
1784703031.887681,87.16065216064453,2346,0.7206375002861023,2063,0.9522431492805481
1784703032.930945,87.26486206054688,2308,0.7205621004104614,2064,0.9953927993774414
1784703033.9792619,87.21835327148438,2807,0.8559499979019165,2061,0.928240180015564
1784703035.02502,87.61557006835938,2281,0.712119460105896,2064,0.9959002733230591
1784703036.077226,87.80758666992188,2272,0.7028746604919434,2062,0.9513599872589111
1784703037.123851,87.87395477294922,2246,0.6985577344894409,2064,0.9711873531341553
1784703038.168563,88.06550598144531,2262,0.706342339515686,2064,0.9998698830604553
1784703039.237767,88.27633666992188,2713,0.8382900357246399,2063,0.9210412502288818
1784703040.281875,88.87140655517578,2234,0.6939108371734619,2062,0.9862403869628906
1784703041.3219771,88.25084686279297,2205,0.6764346361160278,2061,0.9251153469085693
1784703042.372746,88.55389404296875,2179,0.6804305911064148,2064,0.9963769912719727
1784703043.418218,88.68324279785156,2165,0.6598034501075745,2061,0.9304749965667725
1784703044.462534,88.80294036865234,2138,0.6606995463371277,2060,0.8989224433898926
1784703045.512883,88.54583740234375,2675,0.8266764879226685,2063,0.9690412282943726
1784703046.557427,89.9541015625,2097,0.6547948122024536,2064,0.9984838962554932
1784703047.6123111,89.11876678466797,2099,0.6520712971687317,2064,0.9601984024047852
1784703048.660893,89.20252990722656,2076,0.642723798751831,2063,0.9602497816085815
1784703049.70834,89.3584976196289,2026,0.6327533721923828,2064,0.9959293603897095
1784703050.75543,89.1639633178711,2315,0.7156974673271179,2062,0.9336234927177429
1784703051.807101,90.65156555175781,2257,0.7000492215156555,2063,0.9653819799423218
1784703052.8624609,89.47817993164062,1973,0.6086656451225281,2061,0.9215160608291626
1784703053.897963,89.36112976074219,1960,0.6075400114059448,2063,0.9871808290481567
1784703054.939507,89.5219955444336,1926,0.5971710085868835,2063,0.951716959476471
1784703055.98493,89.52359008789062,1910,0.5965051651000977,2064,0.9909310340881348
1784703057.034197,89.45243835449219,2292,0.7070429921150208,2061,0.8888802528381348
1784703058.093458,90.64898681640625,2103,0.6519456505775452,2064,0.9829535484313965
1784703059.139322,89.81742095947266,1923,0.5980932116508484,2063,0.9703483581542969
1784703060.19783,90.10974884033203,1927,0.6017769575119019,2064,0.9964077472686768
1784703061.240874,90.26685333251953,1904,0.5861424207687378,2062,0.9567553400993347
1784703062.292416,90.3169937133789,1861,0.5811488032341003,2064,0.996586799621582
1784703063.343332,90.1091537475586,2227,0.684773862361908,2062,0.9313144683837891
1784703064.387774,91.47394561767578,2068,0.6351697444915771,2063,0.9546254277229309
1784703065.431975,90.49163818359375,1844,0.5745657086372375,2063,0.9430298805236816
1784703066.485128,90.16548156738281,1833,0.562944769859314,2062,0.9697767496109009
1784703067.528553,90.30987548828125,1837,0.568066418170929,2064,0.9528420567512512
1784703068.580748,90.46691131591797,1817,0.5673948526382446,2064,0.9999947547912598
1784703069.6309109,90.31714630126953,2016,0.6238225698471069,2063,0.9569873213768005
1784703070.6814022,91.6598892211914,2188,0.6774603724479675,2063,0.9612581729888916
1784703071.732699,90.4328842163086,1802,0.562705397605896,2064,0.9934561252593994
1784703072.776788,90.5283203125,1802,0.5566725730895996,2062,0.9264828562736511
1784703073.829592,90.75894165039062,1782,0.5563135147094727,2064,0.994794487953186
1784703074.880567,90.95947265625,1808,0.5468772053718567,2061,0.9306826591491699
1784703075.9310138,90.71741485595703,1777,0.5502156615257263,2063,0.9501066207885742
1784703076.977067,91.74124908447266,2326,0.7230477333068848,2063,0.9721391201019287
1784703078.0318642,90.82872772216797,1762,0.550213098526001,2064,0.9980082511901855
1784703079.078367,90.72345733642578,1779,0.5509956479072571,2064,0.9267244935035706
1784703080.133601,90.82449340820312,1768,0.5522114634513855,2064,0.9983643889427185
1784703081.17798,90.77974700927734,1755,0.5313706994056702,2061,0.9068805575370789
1784703082.217014,90.90174102783203,1736,0.5420727729797363,2064,0.9967887997627258
1784703083.277191,90.87943267822266,2310,0.7139201164245605,2062,0.9341551065444946
1784703084.314361,92.19747924804688,1748,0.5459465980529785,2064,0.9924160838127136
1784703085.37101,91.19709014892578,1757,0.5397413372993469,2061,0.9242758750915527
1784703086.4144,91.23367309570312,1723,0.5379674434661865,2064,0.9973666667938232
1784703087.469435,91.1681900024414,1726,0.524946928024292,2061,0.9246808290481567
1784703088.527803,91.10201263427734,1708,0.5331963300704956,2064,0.9969664216041565
1784703089.574612,91.18704986572266,1973,0.6137371063232422,2064,0.9610838890075684
1784703090.619061,90.9921646118164,2069,0.6414817571640015,2062,0.9662270545959473
1784703091.669454,91.08953094482422,1688,0.5271145701408386,2064,0.9952391982078552
1784703092.72115,91.28584289550781,1695,0.5244013071060181,2063,0.9500319957733154
1784703093.7630248,91.05043029785156,1659,0.5179735422134399,2064,0.9963898658752441
1784703094.810592,91.25834655761719,1676,0.5201824903488159,2063,0.957299530506134
1784703095.8723998,91.3563461303711,1666,0.5201278924942017,2064,0.9970606565475464
1784703096.940448,91.96393585205078,2221,0.6832910776138306,2061,0.9209579825401306
1784703097.984533,92.14386749267578,1654,0.516548216342926,2064,0.9965418577194214
1784703099.038396,91.24429321289062,1691,0.5177883505821228,2062,0.9444178938865662
1784703100.09435,91.48828125,1656,0.5172156691551208,2064,0.9999970197677612
1784703101.146235,91.449951171875,1674,0.5215616226196289,2064,0.9543319940567017
1784703102.188021,91.49371337890625,1694,0.5289644002914429,2064,0.9982419013977051
1784703103.2398589,91.54711151123047,1961,0.6081704497337341,2053,0.9623258709907532
1784703104.289977,92.48253631591797,1951,0.6062811613082886,2063,0.9889787435531616
1784703105.339347,91.75384521484375,1674,0.5228251814842224,2064,1.0
1784703106.3901172,91.7046890258789,1659,0.5129901170730591,2058,0.969379723072052
1784703107.4401479,91.6042709350586,1644,0.5133810043334961,2064,0.9993139505386353
1784703108.4898791,91.71859741210938,1664,0.5174960494041443,2062,0.9612473845481873
1784703109.54239,91.85521697998047,1614,0.5038992166519165,2064,0.9989184141159058
1784703110.58835,91.5105209350586,2264,0.6807113885879517,2059,0.896904706954956
1784703111.640364,92.1219711303711,1666,0.5201120972633362,2064,1.0
1784703112.692162,91.78858184814453,1679,0.5148298740386963,2049,0.9518622159957886
1784703113.74434,91.64314270019531,1627,0.5080516934394836,2064,0.999999463558197
1784703114.803333,91.86394500732422,1664,0.5005896687507629,2060,0.9098727107048035
1784703115.849491,92.15324401855469,1630,0.5088611841201782,2064,0.9969305992126465
1784703116.899122,91.81507873535156,1708,0.5266154408454895,2058,0.9775033593177795
1784703117.950529,92.72740173339844,2128,0.6591508388519287,2058,0.9750624299049377
1784703119.007571,91.85103607177734,1630,0.5088563561439514,2064,0.9964466691017151
1784703120.045043,92.01106262207031,1662,0.5021005868911743,2061,0.9086691737174988
1784703121.1018171,92.05056762695312,1637,0.5111830234527588,2064,0.9999984502792358
1784703122.1392798,91.88734436035156,1612,0.49649497866630554,2064,0.9574743509292603
1784703123.189394,91.66564178466797,1629,0.5086073279380798,2064,0.9997753500938416
1784703124.229413,92.02203369140625,1982,0.6134061813354492,2059,0.9718480110168457
1784703125.281705,92.87310791015625,1846,0.5724492073059082,2061,0.9755591154098511
1784703126.315632,92.22911834716797,1615,0.50433748960495,2064,0.9966944456100464
1784703127.366403,92.15092468261719,1625,0.49769240617752075,2062,0.9256701469421387
1784703128.428715,92.23140716552734,1586,0.49515077471733093,2064,0.9965952634811401
1784703129.467781,92.0511703491211,1593,0.490857869386673,2063,0.9235545992851257
1784703130.5143292,92.0703353881836,1559,0.4867105484008789,2064,0.9972758889198303
1784703131.5748842,91.89543151855469,2194,0.6671136021614075,2062,0.8844287395477295
1784703132.625258,92.58600616455078,1606,0.5014723539352417,2064,0.9982315301895142
1784703133.6728792,91.97085571289062,1577,0.4845554828643799,2062,0.9566500186920166
1784703134.7176661,92.10189819335938,1583,0.49431487917900085,2064,0.9946066737174988
1784703135.7624269,92.0956039428711,1585,0.4916350841522217,2063,0.9450196623802185
1784703136.806863,92.24407958984375,1614,0.4992871880531311,2062,0.9847074747085571
1784703137.860553,92.28239440917969,1580,0.49350714683532715,2064,0.9606521129608154
1784703138.9154072,93.11426544189453,2169,0.6679601669311523,2063,0.9489781856536865
1784703139.951425,92.29193115234375,1592,0.4972917139530182,2064,0.9954304695129395
1784703140.9957938,92.36300659179688,1600,0.49742379784584045,2064,0.9642921090126038
1784703142.043709,92.29684448242188,1585,0.49507397413253784,2064,0.9999954700469971
1784703143.101065,92.2812271118164,1632,0.5018235445022583,2060,0.9630857706069946
1784703144.146663,92.24948120117188,1570,0.4903027415275574,2064,0.9964185953140259
1784703145.190662,92.42676544189453,1799,0.5509119033813477,2062,0.9445371031761169
1784703146.2386508,93.18989562988281,1953,0.6063000559806824,2063,0.9664626717567444
1784703147.2915041,92.4866714477539,1555,0.48568499088287354,2064,0.9953724145889282
1784703148.3465128,92.29366302490234,1570,0.47931236028671265,2062,0.9518646597862244
1784703149.397057,92.15560913085938,1561,0.4876042604446411,2064,0.9964343905448914
1784703150.45564,92.43585205078125,1570,0.4861542284488678,2062,0.9476866722106934
1784703151.505932,92.2826156616211,1536,0.4798204302787781,2064,0.9939720630645752
1784703152.561308,92.21980285644531,2039,0.6302409768104553,2063,0.9421396255493164
1784703153.5994,92.50306701660156,1695,0.5273400545120239,2063,0.9848636388778687
1784703154.63934,92.86634826660156,1553,0.48495304584503174,2064,0.9925765991210938
1784703155.683709,92.32527160644531,1559,0.4803043305873871,2062,0.9411665201187134
1784703156.74129,92.28917694091797,1539,0.480701208114624,2064,0.9922957420349121
1784703157.782807,92.53881072998047,1566,0.4803963303565979,2062,0.919090986251831
1784703158.8340428,92.2660903930664,1520,0.47475799918174744,2064,0.9919852018356323
1784703159.888248,91.9754867553711,2165,0.6501004695892334,2060,0.8720740675926208
1784703160.935575,93.3599624633789,1575,0.49198970198631287,2064,0.9960064888000488
1784703161.978719,92.48944091796875,1554,0.4808979332447052,2063,0.9527105093002319
1784703163.0303721,92.4066390991211,1555,0.4822135865688324,2063,0.9833506345748901
1784703164.073014,92.3125991821289,1567,0.4894346296787262,2064,0.9992733597755432
1784703165.113995,92.07574462890625,1540,0.47278159856796265,2062,0.9437741041183472
1784703166.162869,92.39292907714844,1534,0.47909921407699585,2064,0.995396614074707
1784703167.220484,92.20368957519531,2153,0.6563829183578491,2061,0.9204214215278625
1784703168.267693,93.26789093017578,1537,0.4800625145435333,2064,0.9941216707229614
